sep=;
"ID Cita";Cliente;Estado;Sede;Horario;"Fecha de Reserva";Descripción;"Fecha Creación";"Tipo Documento";"Documento Cliente";"Teléfono Cliente";"Email Cliente";"Estado Liquidador";"Tipo Servicio";Costo;"Comentario Liquidador";"Seguimiento cita";"Placa Vehiculo";"Tipo Vehiculo";"Modelo Vehiculo";"Creado Por";Origen;"Url Variables";"Tipo dispositivo"
3;"Miguel Test Manrique Test";"Confirma cita";Test;"10:38 pm - 12:38 pm";"2025-04-04 00:00:00";test;"2025-04-01 06:28:50";CC;10101165161;"	310146416";test;Pendiente;;;;;;;;;"Curso Comparendo";;Desktop
1;"Miguel Test Manrique Test";Asistió;Test;"10:38 pm - 12:38 pm";"2025-04-08 00:00:00";test;"2025-04-01 04:42:35";CC;10101165161;"	310146416";test;Confirmado;;;"Hol testttttt";"Llamada 1 - Holaaaaaaaaaaaaaaaaaa estoooo esss unnn testtt";;;;;"Curso Comparendo";;Desktop
2;"Miguel Test 100 Manrique Test 100";Agendado;Test;"10:38 pm - 12:38 pm";"2025-04-08 00:00:00";"Creada por el cliente";"2025-04-01 06:19:55";CC;1651611151;"	+5731566161166";migueltest100@test.com;Pendiente;;;;;;;;;Desconocido;[];Desktop
4;"Miguel Test Manrique Test";"Confirma cita";Test;"10:38 pm - 12:38 pm";"2025-04-08 00:00:00";test;"2025-04-01 12:55:06";CC;10101165161;"	310146416";test;Pendiente;;;;"Llamada 3 - Esto es un testttttt";;;;;"Curso Comparendo";;Desktop
5;"Miguel Test Manrique Test";Agendado;Test;"10:38 pm - 12:38 pm";"2025-04-08 00:00:00";test;"2025-04-01 13:20:40";CC;1018513219;"	+573154003106";miguel070999@hotmail.com;Pendiente;;;;;;;;;"Curso Comparendo";;Desktop
6;"Miguel Test Manrique Test";Agendado;Test;"12:10 am - 01:29 pm";"2025-04-08 00:00:00";test;"2025-04-01 13:30:10";CC;1018513219;"	+573154003106";miguel070999@hotmail.com;Pendiente;;;;;;;;;"Curso Comparendo";;Desktop
7;"Miguel Angel 2 Manrique Hernandez 2";Asistió;Test;"12:38 pm - 03:38 pm";"2025-04-08 00:00:00";"Creada por el cliente";"2025-04-01 14:08:15";CC;1018513220;"	+573154003106";miguelmanrique0709@gmail.com;Pendiente;CIA;17600;;"test - test|Test - Test|Test 3 - Esto es un test|Test 4 - Esto es otro tes|Llamada 5 - Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque sed dignissim massa. Phasellus sodales ut quam quis rhoncus. Ut commodo nisi at odio tempor cursus. Quisque id ante vel justo euismod mattis. In eros nunc, porttitor id lectus id, rhoncus laoreet est. Vivamus orci orci, accumsan ac efficitur pharetra, vestibulum lacinia ante. Duis suscipit mauris nulla. Etiam at ante enim.

Sed vestibulum ut libero vitae ornare. Duis scelerisque varius nibh sit amet vulputate. In ligula lacus, feugiat sed dapibus at, dignissim eget nulla. Donec vehicula leo id leo feugiat malesuada. Donec at condimentum mi. Integer finibus aliquet justo vel tempor. Donec pharetra odio non orci venenatis, quis accumsan mi maximus. Aenean non nisl mi. Integer sit amet pulvinar leo. Sed sed venenatis augue. Duis blandit ante quis scelerisque gravida. Aliquam posuere massa eget ullamcorper ornare. Maecenas varius sollicitudin erat ut rhoncus.|test, esto es un test - No asistió";;;;;Desconocido;[];Desktop
8;"Miguel Test Manrique test";Agendado;Test;"10:38 pm - 12:38 pm";"2025-04-10 00:00:00";"Creada por el cliente";"2025-04-03 04:26:38";CC;1010100011;"	+5731010000001";fenixangel12@outlook.es;Pendiente;;;;;;;;;Desconocido;[];Desktop
17;"miguel test manrique test";Agendado;Test;"10:38 pm - 12:38 pm";"2025-04-10 00:00:00";"Creada por el cliente";"2025-04-03 09:05:44";CC;55878979847;"	546846";migueltest;Pendiente;;;;;;;;;Desconocido;[];Desktop
11;"Miguel Test Miguel Test";Agendado;Test;"12:10 am - 01:29 pm";"2025-04-10 00:00:00";"Creada por el cliente";"2025-04-03 08:48:01";CC;1000000000000;"	65464";migueltest;Pendiente;;;;;;;;;Desconocido;[];Desktop
